celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
Connective tissue | Mouse | TISSUES,TISSUES,Mouse,,Connective tissue,1710,5,0.0357888766888139,0.49164670660999
MENON_FETAL_KIDNEY_2_NEPHRON_PROGENITOR_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_2_NEPHRON_PROGENITOR_CELLS,35,1,0.0362348984961943,0.49164670660999
REGULATORY T CELLS | ARCHS4,ARCHS4,,,REGULATORY T CELLS,1199,4,0.0363034529426961,0.49164670660999
Fibroblasts_FANTOM_3 | Human | xCell,xCell,Human,,Fibroblasts_FANTOM_3,36,1,0.0372518635838454,0.49164670660999
Monocytes | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Monocytes,37,1,0.0382678225722812,0.49164670660999
Leukocyte | Human | TISSUES,TISSUES,Human,,Leukocyte,724,3,0.0392597314234097,0.49164670660999
HAY_BONE_MARROW_EOSINOPHIL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_EOSINOPHIL,38,1,0.0392827763905547,0.49164670660999
T helper cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T helper cells,41,1,0.0423216161029973,0.49164670660999
T helper cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T helper cells,41,1,0.0423216161029973,0.49164670660999
Monocytes | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Monocytes,41,1,0.0433325585152393,0.49164670660999
Th17 | SaVanT,SaVanT,,,Th17,37,1,0.044342500390652,0.49164670660999
Hematopoietic cell | Human | TISSUES,TISSUES,Human,,Hematopoietic cell,765,3,0.0450179937983998,0.49164670660999
CD8+ Tem_BLUEPRINT_3 | Human | xCell,xCell,Human,,CD8+ Tem_BLUEPRINT_3,42,1,0.0453514426535185,0.49164670660999
Myeloid leukemia cell | Human | TISSUES,TISSUES,Human,,Myeloid leukemia cell,44,1,0.0453514426535185,0.49164670660999
Megakaryocyte erythroid cell | Human | CellMarker,CellMarker,Human,,Megakaryocyte erythroid cell,48,1,0.0493772340374596,0.49164670660999
Mucosal-associated invariant T cell (Hepatocellular Cancer) | Liver | Human | CellMarker,CellMarker,Human,Liver,Mucosal-associated invariant T cell (Hepatocellular Cancer),48,1,0.0493772340374596,0.49164670660999
