cluster,celltype_full,score,score_rank,db,species,organ,celltype,n_genes
10,T cell | Peyer patch | Mouse | CellMarker,0.6810253337,23,CellMarker,Mouse,Peyer patch,T cell,5
10,T cell | Thymus | Mouse | CellMarker,0.6810253337,24,CellMarker,Mouse,Thymus,T cell,5
10,T cell | Thyroid | Human | CellMarker,0.6810253337,25,CellMarker,Human,Thyroid,T cell,5
10,Infiltrated mononuclear cell | Kidney | Human | CellMarker,0.677947788,26,CellMarker,Human,Kidney,Infiltrated mononuclear cell,5
10,T helper17 (Th17) cell | Peripheral blood | Human | CellMarker,0.6763164969,27,CellMarker,Human,Peripheral blood,T helper17 (Th17) cell,6
10,Natural killer T (NKT) cell | Peripheral blood | Human | CellMarker,0.6723777271,28,CellMarker,Human,Peripheral blood,Natural killer T (NKT) cell,7
10,T cell | Lung | Mouse | CellMarker,0.6611508104,29,CellMarker,Mouse,Lung,T cell,7
10,T cell | Lung | Human | CellMarker,0.6532947106,30,CellMarker,Human,Lung,T cell,6
10,Activated T cell | Human | CellMarker,0.6501054338,31,CellMarker,Human,,Activated T cell,13
10,CD8+ T cell | Human | CellMarker,0.643443265,32,CellMarker,Human,,CD8+ T cell,9
10,Multiple pluripotent progenitor cell | Bone marrow | Mouse | CellMarker,0.6428629677,33,CellMarker,Mouse,Bone marrow,Multiple pluripotent progenitor cell,6
10,Myeloid progenitor cell | Bone marrow | Mouse | CellMarker,0.6428629677,34,CellMarker,Mouse,Bone marrow,Myeloid progenitor cell,6
10,T follicular helper cells | Immune system | Human | PanglaoDB,0.6411842901,35,PanglaoDB,Human,Immune system,T follicular helper cells,7
10,T follicular helper cells | Immune system | Mouse | PanglaoDB,0.6411842901,36,PanglaoDB,Mouse,Immune system,T follicular helper cells,7
10,CD8+ T cell | Mouse | CellMarker,0.6411756624,37,CellMarker,Mouse,,CD8+ T cell,7
10,T cell (AIDS-related Non-hodgkin's Lymphoma) | Human | CellMarker,0.640619118,38,CellMarker,Human,,T cell (AIDS-related Non-hodgkin's Lymphoma),7
10,T cell | Thymus | Human | CellMarker,0.6391237289,39,CellMarker,Human,Thymus,T cell,6
10,CD8+ T cell | Blood | Human | CellMarker,0.6389896265,40,CellMarker,Human,Blood,CD8+ T cell,5
10,T cell | Lymph node | Human | CellMarker,0.6363926593,41,CellMarker,Human,Lymph node,T cell,5
10,Reticulocyte | SaVanT,0.6342323906,42,SaVanT,,,Reticulocyte,6
10,Tregs_FANTOM_3 | Human | xCell,0.633102342,43,xCell,Human,,Tregs_FANTOM_3,15
10,Naive T cell | Blood | Human | CellMarker,0.627258211,44,CellMarker,Human,Blood,Naive T cell,5
10,CD4+ Tem_NOVERSHTERN_2 | Human | xCell,0.6245473446,45,xCell,Human,,CD4+ Tem_NOVERSHTERN_2,7
10,CD4+ Tem_NOVERSHTERN_3 | Human | xCell,0.6245473446,46,xCell,Human,,CD4+ Tem_NOVERSHTERN_3,7
10,Angiogenic T cell | Blood | Human | CellMarker,0.6235714354,47,CellMarker,Human,Blood,Angiogenic T cell,5
10,Epithelial cells_ENCODE_2 | Human | xCell,0.6185964447,48,xCell,Human,,Epithelial cells_ENCODE_2,7
10,MEP_NOVERSHTERN_2 | Human | xCell,0.618233132,49,xCell,Human,,MEP_NOVERSHTERN_2,6
10,Immune cell (Ovarian Cancer) | Ovary | Human | CellMarker,0.6125033226,50,CellMarker,Human,Ovary,Immune cell (Ovarian Cancer),5
10,Immune cell | Ovary | Human | CellMarker,0.6125033226,51,CellMarker,Human,Ovary,Immune cell,5
10,Seminoma cell | Human | TISSUES,0.6104251118,52,TISSUES,Human,,Seminoma cell,5
10,Embryonic brain | Human | TISSUES,0.6042145654,53,TISSUES,Human,,Embryonic brain,5
10,CD8+ T-cells_IRIS_2 | Human | xCell,0.6024904662,54,xCell,Human,,CD8+ T-cells_IRIS_2,7
10,Bone marrow stromal cell | Human | TISSUES,0.6014883662,55,TISSUES,Human,,Bone marrow stromal cell,6
10,Stromal cell | Human | TISSUES,0.6014883662,56,TISSUES,Human,,Stromal cell,6
10,Tregs_BLUEPRINT_2 | Human | xCell,0.6011648807,57,xCell,Human,,Tregs_BLUEPRINT_2,8
10,Tregs_FANTOM_1 | Human | xCell,0.6011648807,58,xCell,Human,,Tregs_FANTOM_1,8
10,T cell | Blood | Human | CellMarker,0.5924035024,59,CellMarker,Human,Blood,T cell,5
10,IMGN_T_4FP3+25+_Sp | Mouse | SaVanT,0.5902268,60,SaVanT,Mouse,,IMGN_T_4FP3+25+_Sp,44
10,CD4+CD25+ regulatory T cell | Lymphoid tissue | Mouse | CellMarker,0.5899773867,61,CellMarker,Mouse,Lymphoid tissue,CD4+CD25+ regulatory T cell,6
10,CD4+CD25+ regulatory T cell | Spleen | Mouse | CellMarker,0.5899773867,62,CellMarker,Mouse,Spleen,CD4+CD25+ regulatory T cell,6
10,Cancer stem cell (Breast Cancer) | Mouse | CellMarker,0.5881941626,63,CellMarker,Mouse,,Cancer stem cell (Breast Cancer),7
10,MA_Treg | Human | SaVanT,0.5879002706,64,SaVanT,Human,,MA_Treg,50
10,NK cells_BLUEPRINT_3 | Human | xCell,0.5849163612,65,xCell,Human,,NK cells_BLUEPRINT_3,17
10,HAY_BONE_MARROW_CD34_POS_ERP | Human | MSigDB,0.5841823238,66,MSigDB,Human,,HAY_BONE_MARROW_CD34_POS_ERP,7
10,Naive T cell | Peripheral blood | Human | CellMarker,0.5832012678,67,CellMarker,Human,Peripheral blood,Naive T cell,5
10,Natural killer cell | Blood | Human | CellMarker,0.575828301,68,CellMarker,Human,Blood,Natural killer cell,6
10,IMGN_Tgd_vg5+24ahi_Th | Mouse | SaVanT,0.5757904731,69,SaVanT,Mouse,,IMGN_Tgd_vg5+24ahi_Th,41
10,IMGN_T_8Eff_Sp_OT1_d6_LisOva | Mouse | SaVanT,0.5727972076,70,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_LisOva,49
10,Mesenchymal cell (Ovarian Cancer) | Ovary | Human | CellMarker,0.5700759143,71,CellMarker,Human,Ovary,Mesenchymal cell (Ovarian Cancer),7
10,Mesenchymal cell | Ovary | Human | CellMarker,0.5700759143,72,CellMarker,Human,Ovary,Mesenchymal cell,7
10,Follicular helper (Tfh) T cell | Human | CellMarker,0.568573564,73,CellMarker,Human,,Follicular helper (Tfh) T cell,12
10,MA_Tresting | Human | SaVanT,0.5672941596,74,SaVanT,Human,,MA_Tresting,50
10,Erythrocytes_BLUEPRINT_1 | Human | xCell,0.5670331022,75,xCell,Human,,Erythrocytes_BLUEPRINT_1,5
10,Erythrocytes_BLUEPRINT_2 | Human | xCell,0.5670331022,76,xCell,Human,,Erythrocytes_BLUEPRINT_2,5
10,Erythrocytes_BLUEPRINT_3 | Human | xCell,0.5670331022,77,xCell,Human,,Erythrocytes_BLUEPRINT_3,5
10,Erythrocytes_HPCA_2 | Human | xCell,0.5670331022,78,xCell,Human,,Erythrocytes_HPCA_2,5
10,Erythrocytes_HPCA_3 | Human | xCell,0.5670331022,79,xCell,Human,,Erythrocytes_HPCA_3,5
10,Endothelial cell | Ovary | Human | CellMarker,0.5670237349,80,CellMarker,Human,Ovary,Endothelial cell,5
10,IMGN_Tgd_Sp | Mouse | SaVanT,0.5668263424,81,SaVanT,Mouse,,IMGN_Tgd_Sp,41
10,IMGN_Tgd_vg2+_Sp_TCRbko | Mouse | SaVanT,0.5661765111,82,SaVanT,Mouse,,IMGN_Tgd_vg2+_Sp_TCRbko,49
10,Plasmacytoid dendritic cell | Human | CellMarker,0.5660026186,83,CellMarker,Human,,Plasmacytoid dendritic cell,8
10,CD4-CD28- T cell | Peripheral blood | Human | CellMarker,0.5657726193,84,CellMarker,Human,Peripheral blood,CD4-CD28- T cell,6
10,CD4-CD28+ T cell | Peripheral blood | Human | CellMarker,0.5657726193,85,CellMarker,Human,Peripheral blood,CD4-CD28+ T cell,6
10,IMGN_T_8Eff_Sp_OT1_d15_LisOva | Mouse | SaVanT,0.5655767091,86,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_LisOva,48
10,Eosinophil | Peritoneal cavity | Mouse | CellMarker,0.5655214259,87,CellMarker,Mouse,Peritoneal cavity,Eosinophil,5
10,T cell | Kidney | Mouse | CellMarker,0.5625655264,88,CellMarker,Mouse,Kidney,T cell,11
10,Osteoclast | Bone | Mouse | CellMarker,0.5625636316,89,CellMarker,Mouse,Bone,Osteoclast,6
10,CD4plus_T-cell | SaVanT,0.5588035901,90,SaVanT,,,CD4plus_T-cell,50
10,IMGN_NK_49H+_Sp | Mouse | SaVanT,0.5585828961,91,SaVanT,Mouse,,IMGN_NK_49H+_Sp,42
10,IMGN_Tgd_vg1+vd6+24ahi_Th | Mouse | SaVanT,0.5575629797,92,SaVanT,Mouse,,IMGN_Tgd_vg1+vd6+24ahi_Th,45
10,IMGN_T_8Mem_LN | Mouse | SaVanT,0.5553121625,93,SaVanT,Mouse,,IMGN_T_8Mem_LN,45
10,MA_Tnaive | Human | SaVanT,0.5548213584,94,SaVanT,Human,,MA_Tnaive,51
10,Idiopathic pulmonary fibrosis cell | Lung | Human | CellMarker,0.5547698105,95,CellMarker,Human,Lung,Idiopathic pulmonary fibrosis cell,5
10,IMGN_T_8Mem_Sp | Mouse | SaVanT,0.5541658824,96,SaVanT,Mouse,,IMGN_T_8Mem_Sp,46
10,CD8+ Tcm_NOVERSHTERN_3 | Human | xCell,0.5486495649,97,xCell,Human,,CD8+ Tcm_NOVERSHTERN_3,6
10,Exhausted T cell | Human | CellMarker,0.5478388096,98,CellMarker,Human,,Exhausted T cell,9
10,IMGN_NK_Sp | Mouse | SaVanT,0.5473845925,99,SaVanT,Mouse,,IMGN_NK_Sp,43
10,IMGN_T_8Nve_LN | Mouse | SaVanT,0.5456952209,100,SaVanT,Mouse,,IMGN_T_8Nve_LN,42
11,CD4+ T cell | Peripheral blood | Human | CellMarker,0.7709103715,1,CellMarker,Human,Peripheral blood,CD4+ T cell,5
11,CD4+CD25+ regulatory T cell | Peripheral blood | Human | CellMarker,0.7400363914,2,CellMarker,Human,Peripheral blood,CD4+CD25+ regulatory T cell,5
11,Epithelium | Mouse | TISSUES,0.7336692052,3,TISSUES,Mouse,,Epithelium,9
11,T cell | Lymph node | Human | CellMarker,0.7326407231,4,CellMarker,Human,Lymph node,T cell,5
11,CD4+ T-cells_HPCA_3 | Human | xCell,0.7322834194,5,xCell,Human,,CD4+ T-cells_HPCA_3,24
11,CD4+ memory T-cells_IRIS_1 | Human | xCell,0.7302183611,6,xCell,Human,,CD4+ memory T-cells_IRIS_1,6
11,CD4+ T cell | Human | CellMarker,0.7214426858,7,CellMarker,Human,,CD4+ T cell,13
11,Erythrocytes_FANTOM_2 | Human | xCell,0.7157363386,8,xCell,Human,,Erythrocytes_FANTOM_2,5
11,Naive CD4+ T cell | Peripheral blood | Human | CellMarker,0.7115092834,9,CellMarker,Human,Peripheral blood,Naive CD4+ T cell,22
11,CD4+ T cell | Mouse | CellMarker,0.7099879781,10,CellMarker,Mouse,,CD4+ T cell,15
11,T cell | Peripheral blood | Human | CellMarker,0.7082474852,11,CellMarker,Human,Peripheral blood,T cell,13
11,CD4+ naive T-cells_FANTOM_3 | Human | xCell,0.6920385884,12,xCell,Human,,CD4+ naive T-cells_FANTOM_3,6
11,Clara cell | Trachea | Mouse | CellMarker,0.6851960554,13,CellMarker,Mouse,Trachea,Clara cell,6
11,T cell | Liver | Human | CellMarker,0.6842929977,14,CellMarker,Human,Liver,T cell,10
11,CD4+ T-cells_HPCA_2 | Human | xCell,0.6828336712,15,xCell,Human,,CD4+ T-cells_HPCA_2,23
11,CD8+ T cell | Human | CellMarker,0.6808696871,16,CellMarker,Human,,CD8+ T cell,9
11,Semen | Human | TISSUES,0.6803637575,17,TISSUES,Human,,Semen,8
11,CD8+ T cell | Mouse | CellMarker,0.6686868042,18,CellMarker,Mouse,,CD8+ T cell,7
11,T cell | Kidney | Mouse | CellMarker,0.6686858704,19,CellMarker,Mouse,Kidney,T cell,11
11,T cell | Artery | Human | CellMarker,0.662865599,20,CellMarker,Human,Artery,T cell,6
11,CD4+ T-cells_HPCA_1 | Human | xCell,0.6596712122,21,xCell,Human,,CD4+ T-cells_HPCA_1,25
11,Follicular helper (Tfh) T cell | Mouse | CellMarker,0.6581454266,22,CellMarker,Mouse,,Follicular helper (Tfh) T cell,6
11,T helper2 (Th2) cell | Mouse | CellMarker,0.6574687676,23,CellMarker,Mouse,,T helper2 (Th2) cell,7
11,T cell | Thymus | Human | CellMarker,0.6551556943,24,CellMarker,Human,Thymus,T cell,6
11,T cell (AIDS-related Non-hodgkin's Lymphoma) | Human | CellMarker,0.6545904207,25,CellMarker,Human,,T cell (AIDS-related Non-hodgkin's Lymphoma),7
11,Intercalated cells | Kidney | Human | PanglaoDB,0.6481013405,26,PanglaoDB,Human,Kidney,Intercalated cells,5
11,Intercalated cells | Kidney | Mouse | PanglaoDB,0.6481013405,27,PanglaoDB,Mouse,Kidney,Intercalated cells,5
11,MA_Tconv | Human | SaVanT,0.6437584094,28,SaVanT,Human,,MA_Tconv,50
11,MA_Tnaive | Human | SaVanT,0.6421721901,29,SaVanT,Human,,MA_Tnaive,51
11,CD4+CD25+ regulatory T cell | Lymphoid tissue | Mouse | CellMarker,0.6410542381,30,CellMarker,Mouse,Lymphoid tissue,CD4+CD25+ regulatory T cell,6
11,CD4+CD25+ regulatory T cell | Spleen | Mouse | CellMarker,0.6410542381,31,CellMarker,Mouse,Spleen,CD4+CD25+ regulatory T cell,6
11,CD4+ Tcm_HPCA_3 | Human | xCell,0.6401164948,32,xCell,Human,,CD4+ Tcm_HPCA_3,22
11,M1 macrophage | Adipose tissue | Mouse | CellMarker,0.6376649724,33,CellMarker,Mouse,Adipose tissue,M1 macrophage,5
11,T follicular helper cells | Immune system | Human | PanglaoDB,0.632669202,34,PanglaoDB,Human,Immune system,T follicular helper cells,7
11,T follicular helper cells | Immune system | Mouse | PanglaoDB,0.632669202,35,PanglaoDB,Mouse,Immune system,T follicular helper cells,7
11,B cell | Bone marrow | Mouse | CellMarker,0.6309636469,36,CellMarker,Mouse,Bone marrow,B cell,5
11,Macrophages_FANTOM_1 | Human | xCell,0.6303095053,37,xCell,Human,,Macrophages_FANTOM_1,5
11,Macrophages_IRIS_3 | Human | xCell,0.6303095053,38,xCell,Human,,Macrophages_IRIS_3,5
11,Naive T cell | Blood | Human | CellMarker,0.6299818043,39,CellMarker,Human,Blood,Naive T cell,5
11,CD4+ T cell | Blood | Human | CellMarker,0.6295709338,40,CellMarker,Human,Blood,CD4+ T cell,5
11,Exhausted T cell | Human | CellMarker,0.6285749416,41,CellMarker,Human,,Exhausted T cell,9
11,Follicular helper (Tfh) T cell | Human | CellMarker,0.624337428,42,CellMarker,Human,,Follicular helper (Tfh) T cell,12
11,CD8+ Tcm_BLUEPRINT_1 | Human | xCell,0.6227184515,43,xCell,Human,,CD8+ Tcm_BLUEPRINT_1,6
11,CLP_BLUEPRINT_1 | Human | xCell,0.6140604101,44,xCell,Human,,CLP_BLUEPRINT_1,7
11,IMGN_T_4Nve_MLN | Mouse | SaVanT,0.6082251129,45,SaVanT,Mouse,,IMGN_T_4Nve_MLN,45
11,cDC_NOVERSHTERN_3 | Human | xCell,0.6064524283,46,xCell,Human,,cDC_NOVERSHTERN_3,6
11,CD4+ Tcm_NOVERSHTERN_2 | Human | xCell,0.6053245069,47,xCell,Human,,CD4+ Tcm_NOVERSHTERN_2,8
11,MA_Tmemory | Human | SaVanT,0.6017820416,48,SaVanT,Human,,MA_Tmemory,49
11,T helper17 (Th17) cell | Peripheral blood | Human | CellMarker,0.6013895447,49,CellMarker,Human,Peripheral blood,T helper17 (Th17) cell,6
11,Activated T cell | Human | CellMarker,0.601289078,50,CellMarker,Human,,Activated T cell,13
11,Abdomen | Human | TISSUES,0.6004188297,51,TISSUES,Human,,Abdomen,5
11,CD8+ Tcm_BLUEPRINT_3 | Human | xCell,0.5947000714,52,xCell,Human,,CD8+ Tcm_BLUEPRINT_3,11
11,LAKE_ADULT_KIDNEY_C1_EPITHELIAL_CELLS_UNASSIGNED | Human | MSigDB,0.5932873583,53,MSigDB,Human,,LAKE_ADULT_KIDNEY_C1_EPITHELIAL_CELLS_UNASSIGNED,11
11,CD4+ T-cells_FANTOM_2 | Human | xCell,0.5926739925,54,xCell,Human,,CD4+ T-cells_FANTOM_2,8
11,CD4+ naive T-cells_IRIS_2 | Human | xCell,0.59145966,55,xCell,Human,,CD4+ naive T-cells_IRIS_2,10
11,T helper9 (Th9) cell | Human | CellMarker,0.5901319742,56,CellMarker,Human,,T helper9 (Th9) cell,7
11,Immune cell (Ovarian Cancer) | Ovary | Human | CellMarker,0.5871938521,57,CellMarker,Human,Ovary,Immune cell (Ovarian Cancer),5
11,Immune cell | Ovary | Human | CellMarker,0.5871938521,58,CellMarker,Human,Ovary,Immune cell,5
11,Tregs_HPCA_1 | Human | xCell,0.5831519468,59,xCell,Human,,Tregs_HPCA_1,6
11,MA_Treg | Human | SaVanT,0.581845578,60,SaVanT,Human,,MA_Treg,50
11,CD4+ Tem_NOVERSHTERN_1 | Human | xCell,0.5809580493,61,xCell,Human,,CD4+ Tem_NOVERSHTERN_1,25
11,CD4+ T-cells_BLUEPRINT_3 | Human | xCell,0.5809579496,62,xCell,Human,,CD4+ T-cells_BLUEPRINT_3,21
11,Eosinophil | Peritoneal cavity | Mouse | CellMarker,0.5781835893,63,CellMarker,Mouse,Peritoneal cavity,Eosinophil,5
11,CD4+ Tcm_NOVERSHTERN_3 | Human | xCell,0.5779141268,64,xCell,Human,,CD4+ Tcm_NOVERSHTERN_3,34
11,T cell | Lung | Mouse | CellMarker,0.5748227573,65,CellMarker,Mouse,Lung,T cell,7
11,Neutrophils_HPCA_3 | Human | xCell,0.5744068182,66,xCell,Human,,Neutrophils_HPCA_3,6
11,HAY_BONE_MARROW_NAIVE_T_CELL | Human | MSigDB,0.57060725,67,MSigDB,Human,,HAY_BONE_MARROW_NAIVE_T_CELL,292
11,Immune cell | Lacrimal gland | Mouse | CellMarker,0.5702961744,68,CellMarker,Mouse,Lacrimal gland,Immune cell,5
11,Beta cell | Pancreas | Human | CellMarker,0.5701130449,69,CellMarker,Human,Pancreas,Beta cell,5
11,CD4plus_T-cell | SaVanT,0.569680192,70,SaVanT,,,CD4plus_T-cell,50
11,CD3plus_T-cell | SaVanT,0.5690555256,71,SaVanT,,,CD3plus_T-cell,49
11,MA_Tresting | Human | SaVanT,0.5667046695,72,SaVanT,Human,,MA_Tresting,50
11,IMGN_T_4FP3-_Sp | Mouse | SaVanT,0.5659045622,73,SaVanT,Mouse,,IMGN_T_4FP3-_Sp,45
11,Smooth muscle_HPCA_1 | Human | xCell,0.5649061099,74,xCell,Human,,Smooth muscle_HPCA_1,5
11,CD4+ Tem_NOVERSHTERN_2 | Human | xCell,0.5646264117,75,xCell,Human,,CD4+ Tem_NOVERSHTERN_2,7
11,CD4+ Tem_NOVERSHTERN_3 | Human | xCell,0.5646264117,76,xCell,Human,,CD4+ Tem_NOVERSHTERN_3,7
11,CD4+ Tcm_NOVERSHTERN_1 | Human | xCell,0.5618262401,77,xCell,Human,,CD4+ Tcm_NOVERSHTERN_1,10
11,Pdgfrapha+ cell | Lung | Mouse | CellMarker,0.5617624305,78,CellMarker,Mouse,Lung,Pdgfrapha+ cell,5
11,IMGN_T_4Nve_LN | Mouse | SaVanT,0.5614915786,79,SaVanT,Mouse,,IMGN_T_4Nve_LN,43
11,T cell | Lymphoid tissue | Mouse | CellMarker,0.5605041053,80,CellMarker,Mouse,Lymphoid tissue,T cell,5
11,CD4+ memory T-cells_IRIS_2 | Human | xCell,0.5599045261,81,xCell,Human,,CD4+ memory T-cells_IRIS_2,8
11,CD4+ Tem_HPCA_2 | Human | xCell,0.5591235967,82,xCell,Human,,CD4+ Tem_HPCA_2,32
11,CD4+ Tem_BLUEPRINT_3 | Human | xCell,0.5559498089,83,xCell,Human,,CD4+ Tem_BLUEPRINT_3,10
11,Chromaffin cells | Adrenal glands | Human | PanglaoDB,0.5556817421,84,PanglaoDB,Human,Adrenal glands,Chromaffin cells,7
11,Chromaffin cells | Adrenal glands | Mouse | PanglaoDB,0.5556817421,85,PanglaoDB,Mouse,Adrenal glands,Chromaffin cells,7
11,Oligodendrocyte progenitor cells | Brain | Human | PanglaoDB,0.5530640996,86,PanglaoDB,Human,Brain,Oligodendrocyte progenitor cells,6
11,Oligodendrocyte progenitor cells | Brain | Mouse | PanglaoDB,0.5530640996,87,PanglaoDB,Mouse,Brain,Oligodendrocyte progenitor cells,6
11,Angiogenic T cell | Blood | Human | CellMarker,0.5528394499,88,CellMarker,Human,Blood,Angiogenic T cell,5
11,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS | Human | MSigDB,0.5481149554,89,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS,22
11,Megakaryocytes_NOVERSHTERN_1 | Human | xCell,0.5479918462,90,xCell,Human,,Megakaryocytes_NOVERSHTERN_1,6
11,Acinar cells | Pancreas | Mouse | PanglaoDB,0.5475435777,91,PanglaoDB,Mouse,Pancreas,Acinar cells,8
11,Iris | Human | TISSUES,0.5467113116,92,TISSUES,Human,,Iris,5
11,Keratinocytes_HPCA_1 | Human | xCell,0.5380392371,93,xCell,Human,,Keratinocytes_HPCA_1,6
11,Histiocytic lymphoma cell | Human | TISSUES,0.5363320973,94,TISSUES,Human,,Histiocytic lymphoma cell,6
11,T helper2 (Th2) cell | Human | CellMarker,0.5356529614,95,CellMarker,Human,,T helper2 (Th2) cell,13
11,Tregs_BLUEPRINT_2 | Human | xCell,0.5334721909,96,xCell,Human,,Tregs_BLUEPRINT_2,8
11,Tregs_FANTOM_1 | Human | xCell,0.5334721909,97,xCell,Human,,Tregs_FANTOM_1,8
11,T cell | Spleen | Mouse | CellMarker,0.5320498932,98,CellMarker,Mouse,Spleen,T cell,7
11,Basal cells | Epithelium | Human | PanglaoDB,0.5299029764,99,PanglaoDB,Human,Epithelium,Basal cells,28
11,Basal cells | Epithelium | Mouse | PanglaoDB,0.5299029764,100,PanglaoDB,Mouse,Epithelium,Basal cells,28
12,Plasmacytoid dendritic cell | Bone marrow | Human | CellMarker,0.895984973,1,CellMarker,Human,Bone marrow,Plasmacytoid dendritic cell,6
12,Enteroendocrine cells | GI tract | Human | PanglaoDB,0.7927004549,2,PanglaoDB,Human,GI tract,Enteroendocrine cells,8
12,Enteroendocrine cells | GI tract | Mouse | PanglaoDB,0.7927004549,3,PanglaoDB,Mouse,GI tract,Enteroendocrine cells,8
12,Osteoblast | Human | TISSUES,0.7902206337,4,TISSUES,Human,,Osteoblast,8
12,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS | Human | MSigDB,0.7868909864,5,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS,17
12,Plasmacytoid dendritic cell | Human | CellMarker,0.7670628896,6,CellMarker,Human,,Plasmacytoid dendritic cell,8
12,pDC_NOVERSHTERN_3 | Human | xCell,0.7403553174,7,xCell,Human,,pDC_NOVERSHTERN_3,12
12,pDC_FANTOM_3 | Human | xCell,0.7354486137,8,xCell,Human,,pDC_FANTOM_3,17
12,Osteogenic cell | Human | TISSUES,0.7302346549,9,TISSUES,Human,,Osteogenic cell,9
12,Periosteum | Human | TISSUES,0.7302346549,10,TISSUES,Human,,Periosteum,9
12,pDC_NOVERSHTERN_2 | Human | xCell,0.7181606421,11,xCell,Human,,pDC_NOVERSHTERN_2,10
12,pDC_NOVERSHTERN_1 | Human | xCell,0.7099262004,12,xCell,Human,,pDC_NOVERSHTERN_1,9
12,HPCA_Dendritic_cells_plasmacytoid+ | Human | SaVanT,0.7049500165,13,SaVanT,Human,,HPCA_Dendritic_cells_plasmacytoid+,46
12,HAY_BONE_MARROW_DENDRITIC_CELL | Human | MSigDB,0.6963754811,14,MSigDB,Human,,HAY_BONE_MARROW_DENDRITIC_CELL,137
12,AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3 | Human | MSigDB,0.6859026597,15,MSigDB,Human,,AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3,15
12,Plasma cell (Renal Cell Carcinoma) | Kidney | Human | CellMarker,0.6844578672,16,CellMarker,Human,Kidney,Plasma cell (Renal Cell Carcinoma),20
12,Plasmacytoid dendritic cell | Blood | Human | CellMarker,0.6576162087,17,CellMarker,Human,Blood,Plasmacytoid dendritic cell,247
12,AIZARANI_LIVER_C8_RESIDENT_B_CELLS_1 | Human | MSigDB,0.6511490279,18,MSigDB,Human,,AIZARANI_LIVER_C8_RESIDENT_B_CELLS_1,26
12,Pdgfrapha+ cell | Lung | Mouse | CellMarker,0.6352093519,19,CellMarker,Mouse,Lung,Pdgfrapha+ cell,5
12,Megakaryocyte-erythroid progenitor | Bone marrow | Mouse | CellMarker,0.632670072,20,CellMarker,Mouse,Bone marrow,Megakaryocyte-erythroid progenitor,5
12,Memory B-cells_IRIS_3 | Human | xCell,0.6222167502,21,xCell,Human,,Memory B-cells_IRIS_3,10
12,Memory B-cells_HPCA_1 | Human | xCell,0.6195655921,22,xCell,Human,,Memory B-cells_HPCA_1,11
12,Rheaume et al.Nat Commun.32 | Retina | Mouse | CellMarker,0.6169085542,23,CellMarker,Mouse,Retina,Rheaume et al.Nat Commun.32,6
12,Memory B-cells_HPCA_3 | Human | xCell,0.6014053591,24,xCell,Human,,Memory B-cells_HPCA_3,10
12,Plasma cell | Peripheral blood | Human | CellMarker,0.6010811913,25,CellMarker,Human,Peripheral blood,Plasma cell,5
12,M2 macrophage | Human | CellMarker,0.5991078241,26,CellMarker,Human,,M2 macrophage,5
12,Dendritic cell progenitor | Bone marrow | Human | CellMarker,0.5971692391,27,CellMarker,Human,Bone marrow,Dendritic cell progenitor,10
12,HAY_BONE_MARROW_PLASMA_CELL | Human | MSigDB,0.5863154952,28,MSigDB,Human,,HAY_BONE_MARROW_PLASMA_CELL,82
12,Plasmacytoid dendritic cells | Immune system | Human | PanglaoDB,0.585117562,29,PanglaoDB,Human,Immune system,Plasmacytoid dendritic cells,42
12,Plasma cells_IRIS_3 | Human | xCell,0.5775040306,30,xCell,Human,,Plasma cells_IRIS_3,12
12,HBA_BDCA4+_DentriticCells | Human | SaVanT,0.5742020946,31,SaVanT,Human,,HBA_BDCA4+_DentriticCells,49
12,Plasmacytoid dendritic cells | Immune system | Mouse | PanglaoDB,0.5718925516,32,PanglaoDB,Mouse,Immune system,Plasmacytoid dendritic cells,40
12,Plasma cells_IRIS_2 | Human | xCell,0.5692843973,33,xCell,Human,,Plasma cells_IRIS_2,27
12,Endothelial cells (blood brain barrier) | Vasculature | Human | PanglaoDB,0.5670344037,34,PanglaoDB,Human,Vasculature,Endothelial cells (blood brain barrier),7
12,Endothelial cells (blood brain barrier) | Vasculature | Mouse | PanglaoDB,0.5670344037,35,PanglaoDB,Mouse,Vasculature,Endothelial cells (blood brain barrier),7
12,DC_FANTOM_3 | Human | xCell,0.5664475229,36,xCell,Human,,DC_FANTOM_3,6
12,IMGN_B_FrE_FL | Mouse | SaVanT,0.5658993236,37,SaVanT,Mouse,,IMGN_B_FrE_FL,43
12,Plasma cells | Immune system | Human | PanglaoDB,0.5655056405,38,PanglaoDB,Human,Immune system,Plasma cells,56
12,Myeloma cell | Human | TISSUES,0.5648189631,39,TISSUES,Human,,Myeloma cell,10
12,B-cells_HPCA_3 | Human | xCell,0.5517576679,40,xCell,Human,,B-cells_HPCA_3,6
