celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
Multiple pluripotent progenitor cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Multiple pluripotent progenitor cell,8,1,0.00995994760092511,0.169096540554254
Myeloid progenitor cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Myeloid progenitor cell,8,1,0.00995994760092511,0.169096540554254
CD8+ cytotoxic T cell | Human | CellMarker,CellMarker,Human,,CD8+ cytotoxic T cell,9,1,0.0111983123800942,0.184954735451664
CD8+ T cell | Human | CellMarker,CellMarker,Human,,CD8+ T cell,9,1,0.0111983123800942,0.184954735451664
Exhausted T cell | Human | CellMarker,CellMarker,Human,,Exhausted T cell,9,1,0.0111983123800942,0.184954735451664
Smooth muscle_HPCA_2 | Human | xCell,xCell,Human,,Smooth muscle_HPCA_2,9,1,0.0111983123800942,0.184954735451664
T cell | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,T cell,8,1,0.0111983123800942,0.184954735451664
Alimentary canal | Mouse | TISSUES,TISSUES,Mouse,,Alimentary canal,126,2,0.0119609114387019,0.195425859474274
Gastrointestinal tract | Mouse | TISSUES,TISSUES,Mouse,,Gastrointestinal tract,126,2,0.0119609114387019,0.195425859474274
Hematopoietic cell | Bone marrow | Human | CellMarker,CellMarker,Human,Bone marrow,Hematopoietic cell,10,1,0.012435209612616,0.199950275199683
Monocytes_BLUEPRINT_2 | Human | xCell,xCell,Human,,Monocytes_BLUEPRINT_2,10,1,0.012435209612616,0.199950275199683
T cell | Liver | Human | CellMarker,CellMarker,Human,Liver,T cell,10,1,0.012435209612616,0.199950275199683
Sense organ | Human | TISSUES,TISSUES,Human,,Sense organ,1201,5,0.014411620011759,0.230510069556504
CD8+ Tcm_BLUEPRINT_3 | Human | xCell,xCell,Human,,CD8+ Tcm_BLUEPRINT_3,12,1,0.0149046080065162,0.233479916143312
CUI_DEVELOPING_HEART_COMPACT_ATRIAL_CARDIOMYOCYTE | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_COMPACT_ATRIAL_CARDIOMYOCYTE,12,1,0.0149046080065162,0.233479916143312
Cytotoxic T cell | Mouse | CellMarker,CellMarker,Mouse,,Cytotoxic T cell,12,1,0.0149046080065162,0.233479916143312
Thymocyte | Thymus | Mouse | CellMarker,CellMarker,Mouse,Thymus,Thymocyte,9,1,0.0149046080065162,0.233479916143312
Activated T cell | Human | CellMarker,CellMarker,Human,,Activated T cell,13,1,0.0161371124479669,0.248937485935895
Cytotoxic T cell | Human | CellMarker,CellMarker,Human,,Cytotoxic T cell,13,1,0.0161371124479669,0.248937485935895
T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,T cell,13,1,0.0161371124479669,0.248937485935895
Schwalie et al.Nature.G1 | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,Schwalie et al.Nature.G1,158,2,0.0181556951150812,0.278662411387534
B cell (Renal Cell Carcinoma) | Kidney | Human | CellMarker,CellMarker,Human,Kidney,B cell (Renal Cell Carcinoma),168,2,0.0187741114241349,0.286706153859024
Conventional dendritic cell | Mouse | CellMarker,CellMarker,Mouse,,Conventional dendritic cell,15,1,0.0198258663944987,0.299755263546674
Thymocytes | Thymus | Mouse | PanglaoDB,PanglaoDB,Mouse,Thymus,Thymocytes,16,1,0.0198258663944987,0.299755263546674
Lymphocyte | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Lymphocyte,16,1,0.02105253669739,0.315165807996888
Thymocytes | Thymus | Human | PanglaoDB,PanglaoDB,Human,Thymus,Thymocytes,17,1,0.02105253669739,0.315165807996888
MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL,500,3,0.0232926330857503,0.346991725233309
Skin fibroblast | Human | TISSUES,TISSUES,Human,,Skin fibroblast,20,1,0.0247238273959745,0.366515665640812
Integument | Human | TISSUES,TISSUES,Human,,Integument,1895,6,0.0263964839596213,0.389412207540238
Early enterocyte precursor cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Early enterocyte precursor cell,18,1,0.0271641039535214,0.393103390070246
Neck | Mouse | TISSUES,TISSUES,Mouse,,Neck,19,1,0.0271641039535214,0.393103390070246
Throat | Mouse | TISSUES,TISSUES,Mouse,,Throat,19,1,0.0271641039535214,0.393103390070246
Thyroid gland | Mouse | TISSUES,TISSUES,Mouse,,Thyroid gland,19,1,0.0271641039535214,0.393103390070246
Adipocyte | Mouse | TISSUES,TISSUES,Mouse,,Adipocyte,23,1,0.0283820719309125,0.404944209380483
Fat pad | Mouse | TISSUES,TISSUES,Mouse,,Fat pad,23,1,0.0283820719309125,0.404944209380483
White adipose tissue | Mouse | TISSUES,TISSUES,Mouse,,White adipose tissue,23,1,0.0283820719309125,0.404944209380483
Monocyte | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Monocyte,26,1,0.0320273140956431,0.45481779222738
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES,27,1,0.0344502735635259,0.484696209997941
Lymphoid cell | Mouse | CellMarker,CellMarker,Mouse,,Lymphoid cell,28,1,0.0344502735635259,0.484696209997941
T helper cell | Mouse | CellMarker,CellMarker,Mouse,,T helper cell,29,1,0.03565959754522,0.499398695575684
Pancreas | Human | TISSUES,TISSUES,Human,,Pancreas,598,3,0.0370439369745707,0.516406075530828
CD8+ Tem_HPCA_3 | Human | xCell,xCell,Human,,CD8+ Tem_HPCA_3,31,1,0.0392789657967215,0.535285995767878
Lymphoid cell | Human | CellMarker,CellMarker,Human,,Lymphoid cell,32,1,0.0392789657967215,0.535285995767878
Morula cell (Blastomere) | Embryo | Mouse | CellMarker,CellMarker,Mouse,Embryo,Morula cell (Blastomere),29,1,0.0392789657967215,0.535285995767878
Pericardium | Human | TISSUES,TISSUES,Human,,Pericardium,32,1,0.0392789657967215,0.535285995767878
Th2_rankRelative | SaVanT,SaVanT,,,Th2_rankRelative,32,1,0.0392789657967215,0.535285995767878
Skeletal system | Human | TISSUES,TISSUES,Human,,Skeletal system,1084,4,0.0432632520817745,0.586950995877289
Natural killer cell | Mouse | CellMarker,CellMarker,Mouse,,Natural killer cell,36,1,0.0440847747811083,0.595438358043503
